date,mosquito,watermelon,summer,ice,temperature
2016-01-03,21,4,10,10,6.5
2016-01-10,8,18,10,16,0.3
2016-01-17,4,7,12,0,1.7
2016-01-24,8,22,16,10,-14.4
2016-01-31,12,4,14,11,-3.9
2016-02-07,8,12,11,17,-2.9
2016-02-14,15,9,11,15,-2.6
2016-02-21,13,19,9,10,-0.6
2016-02-28,11,7,11,25,0.7
2016-03-06,6,11,10,0,7.9
2016-03-13,4,7,8,10,3.7
2016-03-20,17,7,13,10,10.6
2016-03-27,10,14,16,10,7.2
2016-04-03,15,5,18,25,10.7
2016-04-10,21,21,18,25,13.4
2016-04-17,18,14,22,15,10.8
2016-04-24,9,19,23,25,15.5
2016-05-01,17,19,21,50,18.8
2016-05-08,59,34,25,34,19.4
2016-05-15,31,24,31,64,17.4
2016-05-22,35,27,37,48,24.7
2016-05-29,40,34,43,68,21.5
2016-06-05,29,65,43,58,24.7
2016-06-12,42,50,48,63,23.5
2016-06-19,46,48,46,44,24.1
2016-06-26,54,52,45,54,24.4
2016-07-03,44,54,50,34,23.5
2016-07-10,52,39,55,48,27.9
2016-07-17,62,49,60,62,21.7
2016-07-24,42,66,64,82,28
2016-07-31,42,39,52,73,28.9
2016-08-07,32,47,54,45,30.6
2016-08-14,44,42,39,58,28.9
2016-08-21,23,32,29,25,30.7
2016-08-28,27,21,16,40,21
2016-09-04,32,11,16,5,25.6
2016-09-11,41,18,11,21,24.5
2016-09-18,25,12,11,14,23.5
2016-09-25,25,15,9,14,23
2016-10-02,20,12,11,10,19
2016-10-09,22,17,9,10,11.3
2016-10-16,20,3,11,5,17.2
2016-10-23,17,9,9,10,13.3
2016-10-30,12,16,11,5,7.9
2016-11-06,11,12,12,30,14
2016-11-13,13,5,15,34,14.4
2016-11-20,14,15,14,10,9.8
2016-11-27,14,5,8,5,3.3
2016-12-04,3,6,12,18,5.5
2016-12-11,7,2,9,0,-1.1
2016-12-18,9,10,7,14,4.9
2016-12-25,4,3,10,5,1
2017-01-01,7,8,9,5,2.7
2017-01-08,9,10,11,0,6.5
2017-01-15,5,8,15,18,-6.6
2017-01-22,11,15,13,5,-8.3
2017-01-29,5,6,12,0,0.8
2017-02-05,5,11,12,0,1.2
2017-02-12,0,12,17,9,-2.2
2017-02-19,6,13,14,4,2.3
2017-02-26,10,11,16,0,3.6
2017-03-05,8,11,13,4,5.2
