date,mosquito,watermelon,summer,ice,temperature
2021-01-03,18,13,5,17,-4.933333333
2021-01-10,14,23,5,25,-9.385714286
2021-01-17,9,15,4,17,-1.828571429
2021-01-24,27,14,6,14,2.1
2021-01-31,20,88,4,9,0.728571429
2021-02-07,18,100,5,25,0.628571429
2021-02-14,16,48,6,9,4.071428571
2021-02-21,18,30,5,26,0.457142857
2021-02-28,25,24,7,29,5.771428571
2021-03-07,7,17,6,16,5.771428571
2021-03-14,19,39,6,25,8.771428571
2021-03-21,21,23,5,10,10.07142857
2021-03-28,24,19,7,26,10.24285714
2021-04-04,30,23,7,3,13.97142857
2021-04-11,26,24,7,18,13.44285714
2021-04-18,43,31,10,19,10.71428571
2021-04-25,26,23,8,32,17.5
2021-05-02,35,27,11,22,13.51428571
2021-05-09,42,50,13,29,14.55714286
2021-05-16,61,40,13,40,20.17142857
2021-05-23,63,51,14,37,17.98571429
2021-05-30,69,57,17,32,16.8
2021-06-06,88,61,17,29,20.67142857
2021-06-13,76,61,22,39,23.7
2021-06-20,91,66,100,45,22.67142857
2021-06-27,58,67,27,52,23.31428571
2021-07-04,76,75,25,59,24.18571429
2021-07-11,73,92,28,64,25.44285714
2021-07-18,69,89,28,74,29.02857143
2021-07-25,52,61,26,100,30.05714286
2021-08-01,72,72,22,62,29.95714286
2021-08-08,64,45,18,50,27.95714286
2021-08-15,43,49,15,51,27.11428571
2021-08-22,73,46,10,37,25.47142857
2021-08-29,68,20,8,16,23.71428571
2021-09-05,75,27,6,11,22.88571429
2021-09-12,70,24,5,23,22.77142857
2021-09-19,78,38,6,13,23.85714286
2021-09-26,78,20,6,26,21.77142857
2021-10-03,100,14,5,12,21.1
2021-10-10,88,16,5,6,20.61428571
2021-10-17,29,26,5,17,15.38571429
2021-10-24,41,25,5,12,10.48571429
2021-10-31,40,13,5,3,13.32857143
2021-11-07,48,14,4,29,13
2021-11-14,48,25,5,11,6.585714286
2021-11-21,44,9,4,21,10.24285714
